,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
EGFR,0.019599566,0.22054048,-0.020513613,0.189584,-0.42754507,-0.54342294,0.10443224,-0.14281537,0.50032026,-1.0948844,-0.20151846,0.20979843,0.18883242,-0.23410983,-0.18749648,-0.041541636,0.6506902,0.048683796,-0.17279476,0.2184494,0.32929537,0.014320916,-0.20182133,-0.2687519,-0.3413724,0.13904352,0.07386459,-0.07895009,0.14088486,-0.1367214,0.18634996,-0.0389132,-0.154302,0.78653073,-0.2034697,0.009097915,0.032080203,-0.029326174,0.11626017,0.2563577,-0.2867411,-0.66609794,-0.30010048,0.26782787,0.053078692,0.0055059353,0.14632349,-0.1608204,0.091513515,0.008914304,0.07235881,-0.20616952,-0.16722277,0.18152995,-0.22883901,0.072074816,-0.04354103,-0.7628259,-0.014973845,0.41578233,-0.048460603,0.24044433,-0.07347147,-0.18956253
EGFR_L858R,-0.05226507,-0.15466033,-0.23474398,0.0634447,-1.3481637,0.10993594,0.2961848,-0.043451656,0.118038714,0.0641612,0.4950858,0.113536984,-0.20874996,-0.1957215,-0.24713805,-0.0076496946,0.3645619,0.69639105,-0.12356953,0.02316554,-0.6510225,0.38957295,-0.19451584,-0.6039045,-0.1978572,-0.0020655151,0.3073527,-0.12546283,-0.29331908,-0.46424618,-0.3775009,-0.16530697,0.1988027,0.31685954,0.40631178,-0.256268,0.47127098,0.115079716,-0.10082416,-0.27088103,-0.07325362,-0.1543567,0.011775698,0.1878881,-0.068637356,0.0011394282,-0.36921236,-0.04536553,0.29813752,-0.26346672,-0.24698375,0.067604646,-0.3099931,0.35638785,0.18929224,-0.7397161,-0.35267937,0.10003932,-0.08193689,1.253671,-0.09314152,-0.007815378,-0.038321503,-0.11007314
EML4::ALK_Fusion AND ALK C1156Y,0.5120813,0.53677374,-0.17992023,0.28570098,-0.6383867,-0.028053781,-0.1056022,1.1562644,0.17017497,0.15965612,0.12165759,0.6443382,0.15017451,-0.107275166,-0.33520174,0.42364845,-0.23478466,0.42044887,0.022359835,-0.010702125,-0.3443668,0.14086494,-0.11127295,2.3332076,0.25382677,-0.104458205,0.45402688,-1.2149726,-0.095687814,-0.30194038,0.17651007,0.41134408,0.16121899,-0.04711651,-0.2543142,-1.0560945,0.10741433,-0.03542501,-0.79081213,0.8296265,-0.06258488,1.2599937,0.12928979,0.19709764,-0.20427905,0.8818437,-0.102710016,0.024411736,-0.67256784,0.19060713,0.06375279,0.0036033285,-0.26316845,-0.9288357,0.4859994,-0.26794773,0.21223639,0.5890419,0.0034581814,0.4943645,0.19037439,-0.60619473,0.60105485,0.18891503
Lung Adenocarcinoma,-0.7363589,1.6677636,0.23383482,0.13919699,-0.25757813,0.56812024,0.39998728,-0.21444118,0.64488345,0.5161783,-0.8710752,0.3444345,1.6149834,-1.6205368,0.18496051,0.7017576,0.42769536,0.31476757,0.13461412,-0.6630037,-0.7236023,0.70762616,-0.7848857,0.5570822,-0.7603995,-0.46779943,-0.51087356,-0.35192046,0.08673998,-0.048194505,-0.47458354,0.93570733,-0.57890636,-0.9869886,0.97284836,0.14595124,-1.2117879,-0.1998296,1.7734722,0.5798335,0.028780663,0.35093662,-0.31558844,0.6622033,0.12380846,-0.348161,0.43915915,-0.19756149,0.40022722,0.64983207,-0.64640296,0.58019245,0.38319653,0.124887325,0.7912855,-0.056625817,-1.0034151,-0.03541537,0.41177532,0.56341827,-0.09812524,0.922993,-0.21742818,-0.5745503
EGFR_T790M,-0.6560215,0.06121711,-0.22540686,0.42505422,-0.01127333,-0.47551546,-0.22969978,-0.03915849,0.39966488,-0.00866907,0.48394078,-0.71865165,0.05192978,0.008421721,0.41996148,0.12211567,-0.25202256,0.27280527,-0.047202326,0.20244887,0.23035517,-0.3037803,0.47560814,-0.5722207,0.55103314,0.05494773,-0.15222655,-0.98059344,-0.16077858,-0.058635432,-1.5922686,0.09134445,-0.79229736,-0.16691084,-0.7465806,0.09559291,-0.18493664,1.5106609,0.113564864,-0.49890772,0.71734273,0.048401244,0.023199374,0.46357098,0.110197484,0.14528045,-0.001061202,0.33440548,0.25676873,-0.0017597475,0.37898514,0.20744592,0.120285556,-0.28062263,0.44154736,0.32794896,0.23859449,-0.05772876,0.6524244,-0.110572845,-0.11176218,0.63668245,0.07999197,-0.19109283
Dacomitinib,-0.68260115,0.61096084,-1.46109,0.36933798,1.8481053,-0.6986431,-0.48196515,0.15509892,-0.16957757,0.3780268,0.3394604,-0.531033,1.0693647,0.745205,0.149721,0.014518484,-0.32151082,0.12887299,-0.23576882,-0.691255,0.46772993,0.30017453,0.037973817,0.6584306,-0.35783896,0.20911139,1.3275678,0.46104747,0.84787065,-0.23273894,0.26430932,0.04160547,0.37345514,0.16154279,-1.0567654,1.840898,-0.34801683,-0.38313034,-0.2757107,0.08033941,-0.54525095,0.031344008,0.16002017,0.21988621,0.2392241,-0.3272585,-0.36705005,0.0124756005,0.8873096,-0.12012126,0.05474376,-0.10434898,-0.2933452,0.0585656,0.07992332,-0.58014166,-0.21787433,-0.08637238,0.7207645,1.0604652,-0.5417061,-0.7143496,0.2127837,0.12661912
KRAS_G12A,-0.16332294,0.32614246,0.40805474,-0.021106973,-0.074944384,0.3759756,-0.02085282,-0.12147357,-0.37307242,0.052477095,0.343887,-0.23406449,-0.033130746,0.105202086,0.048739135,-0.21306452,0.55963355,0.80108875,-1.038925,-0.33649644,0.2347267,-0.09080082,-0.6061257,1.2509656,0.8256779,-0.20403442,-0.17473665,-0.9361144,-0.019037161,0.11809245,0.6392913,-0.36899847,-0.30738926,0.17630625,-0.10266001,0.15199262,-1.2206492,-0.31796277,-0.053091977,0.11041318,-0.34488824,-0.10951569,-0.2799847,0.30594194,0.35064793,0.65368146,-0.06968265,-0.047635175,0.060742952,-1.2127731,-0.5341347,-0.08031756,0.14740717,0.15463047,-1.0058192,-0.23265007,0.32931128,-0.35155568,-0.06647685,0.11028583,-0.5799388,0.2175839,1.9268055,0.031039292
EML4::ALK_Fusion,-0.40728158,0.22922221,0.061353486,-0.75945455,0.22096194,0.7652159,-0.06079802,-1.4336882,0.5339012,-0.44036636,1.7185206,0.5622285,-0.09065874,0.53576267,0.11383565,0.65459996,1.3660892,-0.13604034,-0.016189551,-0.3395414,-0.021983707,1.8487374,0.5509413,0.28689367,-0.05019668,0.05867615,0.044980813,0.3403853,-1.1958183,0.1959138,0.030438261,0.6598937,0.44323912,-1.2923696,-0.49061978,0.1491493,0.90473735,0.6295204,-0.75693685,0.7289908,-0.15616967,1.82793,0.43394154,-0.12264103,0.66565466,-0.76264614,0.29889956,-0.24256356,0.6851898,1.6444685,0.802692,0.42429698,0.17693965,0.11701959,0.35251567,0.18512419,-1.2436231,0.41804275,0.937944,-1.3296115,-0.19586161,-0.63317996,-0.109744765,0.83373016
DDR2,-0.030622538,-0.23436092,1.0176055,0.1465761,0.055757977,0.6433637,1.2563622,-0.4748602,-0.58865565,-0.20804502,-0.025094002,0.5281116,-0.04247932,0.184948,0.15760347,-0.68954974,0.5623519,-0.22341627,1.05331,0.32736918,-0.19179887,-0.41755882,-0.21305256,0.8686183,-0.6588168,-0.34952897,-0.18088926,0.29276454,0.09318688,-0.018821202,-0.74009085,0.004819737,-0.5102946,-0.100950785,0.9134159,0.20590347,0.13231936,0.13069211,-0.38032386,0.7193334,0.014480304,-0.08197477,-0.8693521,0.1766688,-0.01156528,0.14250842,-0.18696135,0.12145446,-0.3740719,0.39319122,0.27622232,-0.32261065,0.038932126,-0.014761315,0.29152972,-0.16692568,-0.07987751,0.053242058,0.23780504,-0.010119048,-0.14576507,0.12908979,-0.37337276,-0.16369976
DDR2_G505S,0.30002835,0.047246017,0.16068844,0.08911099,0.678207,-0.043718062,0.31060356,0.36610535,0.83743864,0.10817804,0.12368211,-0.16510291,-0.65573454,0.49117193,0.2939583,-0.047121488,-0.24337184,-0.9138591,0.3008789,0.67557865,0.62755394,0.2670775,0.55751824,-0.35225585,0.1768257,-0.50259846,-0.2644306,0.028775815,-0.07531119,0.13827863,0.12024589,1.0697902,0.6312752,-0.12515637,-0.01833941,0.27621156,-0.37487918,0.31817648,-0.51210785,-0.5557706,0.5605903,-0.51187855,0.6021271,-0.32227015,0.44397405,-0.20688862,-0.55843335,-0.4271642,-0.23456225,-0.3696483,1.034724,0.10757924,-0.32391754,0.712791,0.32940185,-0.29220474,-0.067816734,-0.43008137,0.35523245,1.0641295,1.1114347,-0.12308914,0.23099418,-0.09877892
